normal,gen_z,Word/Phrase,Definition,Popularity/Trend Level
I'm really tired today but I have to finish my homework.,I'm so drained today but gotta vibe through this homework.,,,
I'm really tired today because I stayed up late watching movies.,I'm hella exhausted 'cause I was up all night binge-watching movies.,,,
I'm really tired because I didn't get enough sleep last night.,I'm dead tired 'cause I caught no Z's last night.,,,
"I'm really tired today, I think I'll just relax at home.","I'm totally exhausted today, gonna just chill at my place.",,,
"I'm really tired today, I just want to relax.","I'm super wiped today, just tryna chill.",,,
I'm feeling really tired today.,"I'm so drained today, fr fr.",,,
I'm just relaxing at home after a long day.,Chillin' at home after a mad busy day.,,,
I'm really tired today because I stayed up late last night.,I'm so drained today 'cause I pulled an all-nighter last night.,,,
"That movie was really good, I enjoyed it a lot.","That flick was fire, I was vibing with it big time.",,,
"Hey, do you want to grab some coffee later?","Yo, wanna catch some coffee later?",,,
"Hey, did you see that new movie last night? It was really good.","Yo, did you peep that lit new flick last night? It was fire.",,,
I'm just really tired today and need some coffee.,"I'm mad drained today, lowkey need my caffeine fix.",,,
I'm totally exhausted after that long day.,"I'm so drained after such a long day, fr fr.",,,
I'm just going to hang out with my friends tonight.,I'm just chillin' with my squad tonight.,,,
I'm really excited for the concert tonight!,I'm super hyped for the concert tonight!,,,
I'm just going to chill at home tonight.,I'm just maxing at home tonight.,,,
I'm going to grab some coffee. Do you want to come?,"I'm finna get some coffee, yolo? Do you wanna roll?",,,
"I'm feeling really tired today, I think I need some coffee.","I'm deadass exhausted today, need that caffeine boost real quick.",,,
"I'm really tired today, I think I need a nap.","I'm super drained today, I gotta catch some z's.",,,
Let's meet up at the cafe later to study.,"Yo, let's link at the cafe later to grind on some homework.",,,
I'm really tired today but I have to finish my homework.,I'm mad exhausted today but gotta grind on my homework.,,,
"Hey, did you see the new movie everyone was talking about?","Yo, did u peep the new flick everyone's hyped about?",,,
"Hey, I'm just relaxing at home after a long day.","Yo, just chillin' at home after a long one.",,,
It's really hot outside today.,"It's mega hot out today, fr fr.",,,
I'm just going to grab some coffee before work.,Gonna snag some coffee before the grind.,,,
I'm really excited to hang out with my friends this weekend.,I'm super hyped to chill with my crew this weekend.,,,
I'm really tired after working all day.,I'm dead tired after grinding all day.,,,
I'm just really tired today and I don't want to go out.,I'm mad sleepy today and I can't be bothered to step out.,,,
I'm going out with my friends tonight.,Chillin' with my squad tonight.,,,
"I'm really tired today, I just want to nap all afternoon.","I'm so drained today, all I wanna do is crash all arvo.",,,
"Hey, do you want to hang out this weekend?","Yo, wanna chill this weekend?",,,
I'm really tired because I stayed up late last night.,I'm hella drained 'cause I pulled an all-nighter yesterday.,,,
I'm just really tired today and just want to relax at home.,"I'm super drained today, just tryna chill at home.",,,
I'm really tired today but I still have to finish my homework.,I'm super drained today but I gotta grind and finish my homework.,,,
"I'm really tired today, I think I'll just stay in and relax.","I'm hella tired today, might just chill at home and vibing.",,,
I'm just really tired today and don't feel like going out.,I'm mad tired today and not tryna dip out.,,,
"I'm really tired today, I just want to chill at home.","I'm dead tired today, just wanna veg at home.",,,
I'm really tired today because I stayed up late studying.,I'm mad tired today 'cause I pulled an all-nighter hitting the books.,,,
I'm really tired today after a long week.,"I'm so drained after this crazy week, fr.",,,
"I'm really tired today, I might just relax at home.","I'm hella exhausted today, might just chill at home.",,,
I'm just going out to grab some coffee with my friends.,"I'm just heading out to vibe with my friends over some coffee, no cap.",,,
I'm just going to relax at home tonight and watch some movies.,"I'm just chillin' at home tonight, binge-watching some flicks.",,,
I'm really tired after working all day and just want to chill with some snacks.,"I'm totally wiped after grinding all day, just wanna kick back with some snacks.",,,
I'm just relaxing at home and watching some TV.,"I'm chillin' at my place, vibing with some shows.",,,
I'm really tired and just want to relax at home today.,"I'm super exhausted and just wanna chill at home today, fr.",,,
I'm just trying to get through the day without any problems.,I'm just tryna vibing through the day without any drama.,,,
I'm just going to relax and watch a movie tonight.,I'm just chillin' and gonna Netflix and chill tonight.,,,
I'm just asking if you want to hang out later.,"Yo, you down to chill later or what?",,,
I'm just going to relax at home and watch some movies.,"I'm just chillin' at home and streaming some flicks, fr.",,,
I'm just going to grab some coffee before class.,"I'm finna snag some coffee before lecture, fr.",,,
I'm just hanging out with my friends at the park today.,"Chillin' with my crew at the park today, no cap.",,,
"Hey, are you free to hang out tomorrow?","Yo, you down to chill tomorrow?",,,
I'm just going to relax at home and watch some TV tonight.,I'm finna chill at my place and binge some shows tonight.,,,
I'm just heading to the store to buy some snacks.,"Gonna slide to the store to grab some snacks, no cap.",,,
"Hey, do you want to hang out later?","Yo, you tryna chill later?",,,
"Hey, I just finished my homework and I'm ready to hang out.","Yo, just wrapped my homework and I'm all set to chill.",,,
"Hey, did you see the new movie last night?","Yo, did you catch that fresh flick yesterday night?",,,
I’m really tired after a long day at work.,I’m so drained after a long grind today.,,,
I'm just really tired after a long day at work.,I'm totally drained after a long day at the grind.,,,
I'm just honestly tired after a long day.,"I'm just vibing out tired after a whole day, no cap.",,,
I'm just going to hang out with my friends this weekend.,I'm just chillin' with my crew this weekend.,,,
I'm just going to relax at home and watch some TV.,I'm just chillin' at home and vibing with some Netflix.,,,
"Hey, do you want to grab a coffee later?","Yo, wanna catch a coffee later?",,,
I'm really excited about hanging out with my friends tonight.,I'm so hyped to chill with my peeps tonight!,,,
I'm just going to hang out with my friends at the park today.,I'm just vibing with my squad at the park today.,,,
"Hey, do you want to go grab some coffee later?","Yo, ya tryna snag some coffee later?",,,
I'm really tired after studying all night.,I'm hella drained 'cause I pulled an all-nighter.,,,
I'm going to grab some lunch with my friends later.,I'm chillin' with my crew for some grub later.,,,
"Hey, I just finished my homework and I'm feeling pretty good.","Yo, just crushed my homework and I'm vibing pretty hard.",,,
"Hey, do you want to hang out tomorrow?","Yo, you down to vibe tomorrow?",,,
"Hey, are you free to hang out today?","Yo, you free to chill today?",,,
I'm just really tired and need to rest for a bit.,"I'm so drained, I gotta chill for a sec.",,,
I'm just chilling at home and watching some videos.,"I'm just vibing at home, binge-watching some vids.",,,
"Hey, do you want to go out for pizza tonight?","Yo, wanna hit up some pizza tonight?",,,
I'm just relaxing at home and watching some movies.,"Chillin' at my crib, vibing with some flicks.",,,
I'm just going to relax at home and watch some videos.,"I'm just chillin' at home, binge-watching vids, no cap.",,,
"Hey, are you free to hang out this afternoon?","Yo, you down to chill today?",,,
I'm really tired today and just want to relax.,"I'm so drained today, just tryna chill and vibe.",,,
I'm feeling really tired today and just want to chill at home.,"I'm straight-up drained today, just tryna Netflix and veg at home, no cap.",,,
"I'm just sitting here, relaxing and listening to some music.","I'm just vibin' here, chillin’ with my tunes.",,,
I'm grabbing a coffee with my friends this afternoon.,"I'm chugging a latte with my squad later, no cap.",,,
Let's hang out at the mall this afternoon.,"Yo, let's vibe at the mall later!",,,
"Hey, do you want to hang out later to watch a movie?","Yo, wanna vibe later and catch a flick?",,,
I'm just feeling really tired today.,"I'm totally drained today, no cap.",,,
"Hey, do you want to grab a quick coffee before the movie?","Yo, wanna grab a quick latte before the flick?",,,
I'm just really tired today because I didn't sleep well.,I'm lowkey exhausted today 'cause I slept like trash.,,,
Did you see the new movie that just came out?,"Yo, did you peep the new flick that just dropped?",,,
"Hey, do you want to hang out after school?","Yo, wanna chill after class?",,,
I'm really excited to go to the concert tonight.,I'm so hyped for the concert tonight!,,,
I'm just going to chill at home and watch some movies tonight.,I'm just gon' vibe at my place and binge some flicks tonight.,,,
I'm just going to chill at home and watch some shows.,"I'm just vibing at home, binge-watching some shows.",,,
I'm really excited for the party tonight.,I'm so hyped for the party tonight!,,,
I'm really excited to chill with my friends tonight.,I'm soooo hyped to hang with my squad tonight!,,,
"Hey, do you want to grab something to eat later?","Yo, wanna catch a snack later?",,,
"Hey, did you finish your homework?","Yo, did you peep your homework yet?",,,
I'm just waiting for my friend to arrive so we can go to the cafe.,"Just vibing, waitin' on my homie to pull up so we can hit the cafe.",,,
I'm going to grab some food with my friends later.,"I'mma hit up my friends for some grub later, fr.",,,
I'm just relaxing at home and watching some videos.,I'm just vibing at home and streaming some vids.,,,
"Hey, are you free this afternoon to hang out?","Yo, you vibing this arvo to chill?",,,
I'm going to grab some coffee with my friends today.,I'm finna slurp some coffee with my crew today.,,,
"Hey, did you see that new movie last night?","Yo, did you catch that new flick last night?",,,
I'm really tired because I stayed up too late last night.,I'm dead tired 'cause I was up all night scrolling.,,,
I'm just planning to hang out with friends this afternoon.,"OOTD, just vibing with the crew today, no cap.",,,
I'm going to grab some coffee before I head to class.,I'm finna sip some coffee before I dip to class.,,,
I'm just going to relax at home tonight.,"I'm just chillin' at home tonight, no cap.",,,
I'm just really tired today because I didn't sleep well last night.,I'm so drained today 'cause I barely slept last night.,,,
"Hey, did you see the new movie everyone’s talking about?","Yo, did you peep that fresh flick everyone’s buzzin' about?",,,
"I'm really tired today, so I think I'll just stay in and relax.","I'm hella drained today, so I'm just gonna chill at home and vibing.",,,
I'm really excited to hang out with my friends tonight.,I'm super hyped to chill with my squad tonight!,,,
I'm just going to stay home and relax today.,"I'm just chillin' at home today, no cap.",,,
I'm really tired today because I didn't get enough sleep.,I'm totally drained today 'cause I slept like zero hours.,,,
I'm just really tired today and want to stay home.,I'm hella beat today and just wanna chill at home.,,,
"I'm really tired today, so I think I'll just stay home and relax.","I'm super wiped today, so I'm just vibing at home and chilling.",,,
I'm going to grab some coffee with my friends later.,I'm about to snag some coffee with my squad later.,,,
I'm just hanging out with my friends at the park after school.,"Chillin' with my crew at the park after class, no cap.",,,
I was just about to leave the house when I remembered I left my phone inside.,"I was finna dip, then I remembered I left my phone chillin' inside.",,,
I really like hanging out with my friends after school.,"I’m vibing with my crew after school, fr.",,,
I'm just chilling at home and watching some shows.,"I'm just vibin' at home, binge-watching some shows.",,,
I noticed that the new cafe opened downtown yesterday.,"Yo, saw that new chill spot pop up downtown yesterday!",,,
I'm honestly really tired after working all day.,"I'm legit dead tired after grindin' all day, fr.",,,
"I'm really tired today, so I think I'll just relax at home.","I'm super drained today, so I'm just gonna chill at home.",,,
I'm going to grab some coffee with my friend later.,"I'm finna hit up my homie for some coffee later, fr fr.",,,
"Hey, I just finished my homework and I'm ready to chill.","Yo, just knocked out my homework and I'm all set to vibe.",,,
I'm really tired after the long day at work.,I'm so drained after this long day at the grind.,,,
I'm just going to grab some coffee before heading to work.,I'm finna sip some java before I dip to work.,,,
I'm just going to grab a quick coffee before work.,"Gonna hit up a quick coffee run before work, fr.",,,
"Hey, do you want to hang out this afternoon?","Yo, wanna kick it today?",,,
"I'm just really tired today, so I think I'll stay home and relax.","I'm mad drained today, so I'm just chillin' at home and vibin'.",,,
"Hey, did you see the new movie everyone is talking about?","Yo, did you peep the new flick everyone's hyped about?",,,
I'm just going to chill at home and watch some TV tonight.,I'm just gonna vibe at home and binge some shows tonight. They’re gonna be lit!,,,
"Hey, are you free to hang out tonight?","Yo, you down to chill tonight?",,,
I'm going to grab some coffee before heading to class.,I'm about to snag some coffee before I dip to class.,,,
I'm just so tired after a long day at work.,"I'm straight up drained after a crazy long day at work, no cap.",,,
"Hey, I think I forgot my homework at home today.","Yo, I totally left my homework at the crib today.",,,
I'm just feeling a little tired after a long day at work.,I'm kinda wiped after a long day at the grind.,,,
I'm just going to chill at home and watch some Netflix.,"I'm just gonna vibing at home and binge some Netflix, no cap.",,,
I'm really tired because I stayed up late watching videos.,I'm mad tired 'cause I was up all night binge-watching vids.,,,
"Hey, do you want to grab dinner tonight?","Yo, you down to hit up some dinner tonight?",,,
"Hey, do you want to hang out later and grab some coffee?","Yo, you tryna chill later and get some java?",,,
"Hey, did you see that new movie everyone's talking about?","Yo, did you peep that new flick everyone's hyped about?",,,
"Hey, let's meet up at the cafe later and catch up.","Yo, let's slide to the café later and vibe.zz",,,
I'm just going to hang out with my friends this afternoon.,I’m just gonna vibe with my friends later.,,,
I'm really excited about hanging out with my friends this weekend.,"I'm hyped to chill with my crew this weekend, fr fr!",,,
I'm really tired after studying all day.,I'm completely 🥱 after grinding all day.,,,
"Hey, I'm really tired today, so I think I'll just stay home and relax.","Yo, I'm hella drained today, so I'm just gonna chill at home and vibe.",,,
"Hey, did you see that new movie everyone is talking about?","Yo, did you catch that new flick everyone’s vibing over?",,,
I'm just really tired today and feeling a bit bored.,I'm mad tired today and vibing in boredom.,,,
"Hey, did you see that new movie yesterday?","Yo, did you catch that fresh flick yesterday?",,,
I'm thinking about grabbing some coffee before heading out.,Lowkey tryna snag some coffee before I dip.,,,
"Hey, I just finished my homework and I'm ready to hang out with friends.","Yo, justwrapped my homework and I'm totally down to kick it with the squad.",,,
I’m just going to chill at home and watch some movies tonight.,I'm just gon' kick it at home and binge some flicks tonight.,,,
"Hey, are you free to hang out this weekend?","Yo, you down to chill this weekend?",,,
I'm really tired after school today.,I'm mad drained after school today.,,,
I'm just going to chill at home and watch some movies today.,I'm just gonna vibe at home and binge some flicks today.,,,
I'm just relaxing at home tonight.,"Just chillin' at home tonight, no cap.",,,
I'm really tired after work today.,I'm super beat after grindin' all day.,,,
"Hey, are you free to hang out after school?","Yo, are you down to chill after class?",,,
I'm just going to grab some coffee before I head to class.,I'm just gonna snag some coffee before I bounce to class.,,,
"Hey, do you want to hang out at the mall this afternoon?","Yo, wanna vibe at the mall later?",,,
I'm just going to grab some coffee before heading to class.,I'm finna snag some coffee before bouncing to class.,,,
"Hey, do you want to grab lunch later?","Yo, wanna hit up lunch later?",,,
That movie was really interesting and funny.,That flick was mad funny and cool fr!,,,
I'm just trying to relax and have a good time this weekend.,I'm just tryna chill and vibe out this weekend.,,,
I'm going to grab some coffee with my friends this afternoon.,"Yo, I'm hitting up the café with my crew later, fr fr.",,,
"Hey, do you want to grab some ice cream later?","Yo, you down to snag some ice cream later?",,,
I'm really tired after those long errands today.,I'm hella drained after running all those errands today.,,,
I just finished my homework and I’m feeling pretty good about it.,I just bossed my homework and I’m vibing with it.,,,
"Hey, I just finished my homework and I feel so relieved.","Yo, just knocked out my homework and I’m vibing so hard right now!",,,
"Hey, I’ve got to leave early today because I have an appointment.","Yo, I gotta bounce early today 'cause I got an appointment.",,,
"Wow, I really like that new song you recommended.","Yo, that new song you sent is fire, I’m obsessed!",,,
I'm really excited to go to the concert tonight!,I'm totally hyped to hit up the concert tonight! 🔥,,,
I'm going to grab some coffee after work to relax.,I'm down to sip on some coffee after work to chill.,,,
I'm so tired after studying all night.,I'm hella drained after pulling an all-nighter.,,,
"Hey, I'm just chilling at home and watching some Netflix.","Hey, I’m just vibing at home and binging some Netflix.",,,
I'm heading to the mall to hang out with my friends.,I'm gonna slide to the mall to chill with my peeps.,,,
"I'm really tired after studying all day, I just want to relax now.","I'm dead tired after hitin' the books all day, just tryna chill now.",,,
I'm really tired today because I stayed up late watching videos.,I'm super dead today 'cause I pulled an all-nighter binge-watching vids.,,,
I'm just chilling at home and watching some movies.,"Just vibing at home, Netflix and chillin' all day. ",,,
I'm just going to grab some coffee and then head to the mall.,"Yo, I'm just guding some coffee and then hitting up the mall, fr fr.",,,
"Hey, I just finished my homework and I'm going to chill for a bit.","Yo, just wrapped my homework and I'm about to vibe for a sec.",,,
I'm just really tired today and I don't feel like doing anything.,"I'm dead tired today and not tryna do anything, fr.",,,
"I'm really tired after working all day, I just want to relax now.","I'm mad drained after grinding all day, just tryna chill now.",,,
I'm just going to relax at home this weekend.,"I'm just vibing at home this weekend, no cap.",,,
I'm just going to grab some coffee and then head to work.,"Chill, I'm just finna get some coffee and then slide to work.",,,
I'm just tired and want to relax at home tonight.,I'm dead tired and just wanna chill at home tonight.,,,
"I'm feeling pretty tired today, so I think I'll just stay home and relax.","I'm lowkey drained today, so I’m just chillin' at home to vibe.",,,
I'm going to grab some coffee before heading to work.,"Gonna get some coffee before I dip to work, no cap.",,,
I'm going to hang out with my friends this afternoon.,"I'm finna chill with my squad later, no cap.",,,
I'm just trying to finish my homework before dinner.,"I'm just tryna wrap up my homework before dinner, no cap.",,,
I'm just going to chill at home and listen to some music.,I'm just gonna vibe at home and crank some tunes.,,,
I just finished my homework and I'm feeling pretty tired.,Just wrapped my homework and I'm lowkey drained rn.,,,
I'm just going to relax at home and watch some movies tonight.,"I'm just tryna chill at home and stream some flicks tonight, you feel me?",,,
"Hey, I saw your message and I’ll reply later.","Yo, saw ur msg, I’ll holler back later.",,,
I'm just trying to relax and enjoy my weekend.,I'm just vibing and chillin' through my weekend.,,,
"Hey, let's meet up at the park later.","Yo, let's slide to the park later.",,,
I'm just tired after a long day at work.,I'm just drained after a whole day grind.,,,
"I'm feeling pretty tired today, so I'm just going to relax at home.","I'm hella drained today, so I'm just gonna chill at home.",,,
I'm really tired because I didn't sleep well last night.,"I'm so drained, I barely slept last night, fr fr.",,,
"Hey, did you catch the new movie last night?","Yo, did you peep the new flick last night?",,,
"Hey, do you want to hang out with me this afternoon?","Yo, wanna vibe with me later today?",,,
I'm just trying to relax and enjoy my day.,I'm just vibing and catching good vibes today.,,,
I'm just going to chill at home and watch some shows tonight.,I'm just gonna lounges at home and binge some shows tonight.,,,
"Hey, I'm just going to grab some food before I head out.","Yo, I'm finna snag some grub before I bounce.",,,
I'm just trying to relax and watch some TV after a long day.,I'm just tryna chill and binge some shows after a long grind.,,,
I'm just feeling a little tired today.,"I'm straight-up vibin', kinda drained today.",,,
I'm just going to relax at home and watch some shows.,I'm just chillin' at home and binge-watching some shows.,,,
"Hey, I'm just chilling at home and watching some videos.","Yo, I'm just vibing at home and streaming some vids.",,,
I'm really tired today and don't feel like going out.,I'm totally exhausted today and not tryna dip out.,,,
I'm really tired today after staying up late last night.,I'm dead tired today 'cause I pull an all-nighter last night.,,,
"Hey, do you want to hang out at the mall later?","Yo, you tryna slide to the mall later?",,,
"I'm really tired today, so I think I'll stay home and relax.","I'm mad wiped today, so I'm just chillin' at home and vibing.",,,
I'm just going to chill at home and watch some TV.,I'm just gonna vibe at home and binge some shows.,,,
"I'm really tired after a long day, but I still want to hang out with my friends.","I'm mad drained after a long day, but I lowkey wanna chill with my crew.",,,
I'm going to grab a coffee before work.,"Hey, I'm 체크in a coffee before hustle kicks in.",,,
"Hey, I saw your new haircut today, and it looks really cool!","Yo, saw your new do today, and it’s mad sick!",,,
I'm just really tired after a long day.,I'm hella drained after a wild day.,,,
"I'm really tired today, so I just want to relax at home.","I'm totally drained today, just tryna chill at home.",,,
"Hey, did you see that new movie everyone’s talking about?","Yo, did you peep that new flick everyone's vibing about?",,,
"Hey, do you want to grab lunch together today?","Yo, wanna slide out for some lunch today?",,,
I'm going to grab some coffee before I head to school.,I'm finna sip some coffee before I bounce to class.,,,
I'm just going to relax and watch some YouTube videos.,"I'm just chillin' and vibin' with some YouTube, no cap.",,,
"Hey, have you seen that new movie everyone's talking about?","Yo, have you peeped that new flick everyone’s vibin' on?",,,
"Hey, do you want to grab some lunch after school?","Yo, wanna snag some lunch after class?",,,
I'm feeling really tired today and just want to relax at home.,"I'm super woke and just wanna chill at my crib today, lowkey exhausted.",,,
I'm just really tired today and think I might stay home.,"I'm mad exhausted today, probably just gonna ghost at home.",,,
I'm just going to relax and watch some TV tonight.,I'm just vibing at home and binge-watching some shows tonight.,,,
I'm just going to grab some lunch before heading to work.,"Pulling a quick snack run before I dip to work, fr fr.",,,
I'm really excited about the concert tonight!,I'm totally hyped for the concert tonight!,,,
I'm really tired today because I stayed up too late last night.,I'm soooo exhausted today ’cause I was up all night last night 😴.,,,
"I'm really tired after the long day, so I just want to relax and watch some TV.","I'm totally drained after today, just wanna chill and binge some shows.",,,
I was just relaxing at home and watching some TV.,"I was just vibing at home, bingeing some shows, no cap.",,,
I'm just relaxing at home and watching some shows.,"Chillin' at home, vibing with some Netflix, no cap.",,,
I'm just going to grab some coffee before we head out.,Gonna snag some coffee real quick before we dip out.,,,
I'm just chilling at home and watching some YouTube.,"I'm just vibing at home and binge-watching some YouTube, no cap.",,,
"Hey, I'm going to grab some coffee later. Do you want to come along?","Yo, I'm about to hit up Starbucks later. Wanna roll through?",,,
I'm really excited about tomorrow's game.,I'm hyped for the game tomorrow!,,,
"Hey, do you want to hang out tonight?","Yo, wanna vibe tonight?",,,
I'm just going to relax at home tonight and watch a movie.,I'm just tryna chill at home tonight and binge a flick.,,,
I was just relaxing at home and watching some videos.,"I was just chillin' at home, vibing with some vids.",,,
I'm just trying to relax and hang out with friends tonight.,I'm just tryna chill and vibe with my crew tonight.,,,
"Hey, do you want to grab some coffee after school?","Yo, wanna hit up Starbucks after class?",,,
"Hey, do you want to hang out at the mall today?","Yo, you down to vibe at the mall today?",,,
I'm feeling really tired after that long day at work.,"I'm dead exhausted after that long grind, fr.",,,
I'm just hanging out with my friends at the mall today.,Just vibing with my squad at the mall today.,,,
I'm going to meet my friends at the mall later.,"Catching my friends at the mall later, fr fr.",,,
I'm heading out to get some coffee with my friends.,I'm off to grab some java with my squad ☕🔥,,,
"Hey, I just finished my homework and I'm gonna relax for a bit.","Yo, just wrapped my homework, finna chill for a sec.",,,
"I'm really tired today, I think I just want to stay home and relax.","I'm mad tired today, just wanna chill at home and vibe out.",,,
"Hey, did you see the new movie that came out yesterday?","Yo, did you peep the new flick that dropped yesterday?",,,
I'm going out to grab some coffee with my friends.,I'm bouncing to get some java with my squad.,,,
"Hey, are you free to hang out later after school?","Yo, you chillin’ to hang out later after school?",,,
I'm going to grab some coffee before class.,"I'm finna snag some java before class, fr.",,,
"Hey, let's grab some coffee later.","Yo, let's snag some java later, fr.",,,
I'm just going to grab some lunch with my friends later.,I'm just finna chill with my squad for some grub later.,,,
I'm probably going to stay home and watch some movies tonight.,"I'm just chillin' at home, binge-watching some flicks tonight.",,,
I'm really tired today after staying up all night studying.,I'm hella exhausted today 'cause I pulled an all-nighter studiyng. ,,,
"Hey, I forgot my keys at home this morning.","Bruh, I left my keys at home today, no cap!",,,
"Hey, I just finished my homework and I'm ready to relax.","Yo, just knocked out my homework, now I'm chillin' ✌️.",,,
"Hey, I saw her at the mall earlier today.","Yo, I peeped her at the mall earlier today.",,,
"Hey, do you want to grab some lunch later?","Yo, you down to snag some lunch later?",,,
"I'm just chilling at home, watching some movies.","I'm just vibing at home, catching some flicks.",,,
I'm going to grab some coffee with my friend tomorrow.,I'm finna hit up my buddy for some coffee tomorrow.,,,
"Hey, I just finished my homework and I’m ready to hang out.","Yo, just slapped that homework and I’m out here vibing now.",,,
I'm really tired today because I didn’t get enough sleep.,I'm totally drained today 'cause I barely slept 😴.,,,
"Hey, are we still on for the movie tonight?","Yo, are we still vibing for the movie tonight?",,,
I'm going to grab a coffee with my friends later.,"I'm finna brew up some coffee with my squad later, fr.",,,
I'm just seeing what my friends are up to today.,Just vibing to see what my squad's on today.,,,
"Hey, I was thinking about going shopping later.","Yo, I’m vibing with the idea of hitting the mall later, fr.",,,
"I'm feeling really tired today, so I think I'll just stay home and relax.","I'm hella drained today, so I’m just gonna chill at home and vibe.",,,
I'm just tired from studying all night.,I'm hella exhausted after pulling an all-nighter.,,,
I'm just going to chill at home tonight and watch some Netflix.,"I'm just vibing solo at home tonight, bingeing some Netflix, no cap.",,,
I'm just tired and not in the mood to go out tonight.,I'm sooo drained and not vibing to go out tonight.,,,
I'm really excited for the concert this weekend!,I'm super hyped for the concert this weekend!,,,
I'm just going to relax and watch some Netflix tonight.,I’m just vibing and Netflix binging tonight lol.,,,
I'm feeling really tired today after staying up late last night.,I'm totally drained today 'cause I stayed up way too late last night.,,,
I'm going to grab some snacks and watch a movie tonight.,I'm finna snag some snacks and binge a flick tonight.,,,
I'm just hanging out with my friends this afternoon.,I'm just vibing with my crew this arvo.,,,
I'm just going to relax and watch some videos this afternoon.,I'm just gonna chill and scroll through vids today.,,,
I'm just grabbing a quick coffee before heading to work.,I'm just diying with a quick brew before bouncing to work.,,,
I'm really tired after working all day and just want to relax.,"I'm so drained after grinding all day, just tryna chill now.",,,
I just finished my homework and I'm going to relax for a bit.,Just peaced out from my homework and I'm fin to chillax for a bit.,,,
I'm just really tired and want to relax after a long day.,"I'm super drained and just wanna chill after a long day, fr.",,,
I'm really tired after staying up all night studying.,I'm hella drained 'cause I pulled an all-nighter studying.,,,
